Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Engine_Temp_C_Lower_Limit,Engine_Temp_C_Upper_Limit,Oil_Pressure_bar_Lower_Limit,Oil_Pressure_bar_Upper_Limit,Vibration_mms_Lower_Limit,Vibration_mms_Upper_Limit,Fuel_Consumption_Lhr_Lower_Limit,Fuel_Consumption_Lhr_Upper_Limit,Tyre_Pressure_PSI_Lower_Limit,Tyre_Pressure_PSI_Upper_Limit,Coolant_Level_Lower_Limit,Coolant_Level_Upper_Limit,Battery_Voltage_V_Lower_Limit,Battery_Voltage_V_Upper_Limit,Hydraulic_Pressure_bar_Lower_Limit,Hydraulic_Pressure_bar_Upper_Limit,Exhaust_Temp_C_Lower_Limit,Exhaust_Temp_C_Upper_Limit,RPM_Lower_Limit,RPM_Upper_Limit,Engine_Temp_C_Status_enc,Oil_Pressure_bar_Status_enc,Vibration_mms_Status_enc,Fuel_Consumption_Lhr_Status_enc,Tyre_Pressure_PSI_Status_enc,Coolant_Level_Status_enc,Battery_Voltage_V_Status_enc,Hydraulic_Pressure_bar_Status_enc,Exhaust_Temp_C_Status_enc,RPM_Status_enc,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Maintenance_Type_enc,PM_Interval_Hours,Next_PM_Due_Hours,PM_Status_enc,Maintenance_Cost_INR,Estimated_Downtime_Hrs,Last_Maintenance_Type_enc,Days_Since_Last_Maintenance,Maintenance_Team_enc,Engine_Condition_enc,Tyre_Condition_enc,Hydraulic_Condition_enc,Brake_Condition_enc,Electrical_Condition_enc,Fuel_System_Condition_enc,Transmission_Condition_enc,Cooling_System_Condition_enc,Engine_Replacement_Needed_enc,Tyre_Replacement_Needed_enc,Hydraulic_Replacement_Needed_enc,Brake_Replacement_Needed_enc,Electrical_Replacement_Needed_enc,Engine_Life_Remaining_pct,Tyre_Life_Remaining_pct,Hydraulic_Life_Remaining_pct,Battery_Life_Remaining_pct,Brake_Life_Remaining_pct,Failure_Type,Failure_Type_enc,Failure_Component,Failure_Component_enc,Maintenance_Priority,Maintenance_Priority_enc,Spare_Parts_Required,Prescriptive_Action,Days_to_Next_Failure,Failure
HEMM-B002,Dozer,2023-10-02,0,2,2,18,84.1,4.56,1.7,39.1,88.1,0.91,24.1,165.6,336.5,1718.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6066,14,18.44,0.9895,100.0,0,2023,10,0,0,250,184,3,6049,0.2,0,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,83.0,39.3,89.3,66.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,76,0
HEMM-E003,Excavator,2022-01-12,3,2,0,3,83.0,4.35,1.17,35.8,85.1,0.98,24.9,171.9,346.8,1870.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,8476,25,19.08,0.6257,99.2,0,2022,1,2,3,200,124,3,23095,3.9,2,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,57.6,15.2,92.2,76.6,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,170,0
HEMM-G002,Grader,2021-07-08,4,0,0,8,86.5,4.74,2.36,31.1,78.0,0.85,24.0,180.0,343.7,1703.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,3695,89,18.25,1.3858,96.6,0,2021,7,3,0,300,205,3,3998,0.0,1,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2,34.2,63.0,88.9,52.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,154,0
HEMM-B002,Dozer,2022-03-24,0,2,2,17,105.0,4.35,1.43,44.5,85.5,0.6,24.1,171.3,334.5,1845.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,1,0,0,0,0,-1,0,0,0,0,7980,76,30.97,0.7751,74.4,1,2022,3,3,1,250,20,0,88684,42.6,3,146,3,1,0,0,0,0,0,0,2,1,0,0,0,0,33.5,5.0,20.2,89.3,71.4,Cooling System Failure,1,Cooling System,1,Critical,0,No Parts Required,IMMEDIATE ACTION: Stop machine. Replace Cooling System. Contact maintenance team.,5,1
HEMM-E003,Excavator,2022-05-15,3,1,1,11,99.4,3.97,0.87,31.5,86.5,0.91,23.6,174.3,324.1,1846.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6448,106,25.04,0.4713,90.1,0,2022,5,6,0,200,152,3,7374,0.7,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3,5.0,35.5,87.4,82.6,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,100,0
HEMM-SC01,Scraper,2022-08-03,5,1,2,17,86.1,4.35,2.68,41.6,74.3,0.77,24.3,166.8,326.7,1774.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6343,70,19.79,1.5107,93.6,0,2022,8,2,0,300,257,3,7633,0.0,2,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1,11.2,36.6,90.0,46.4,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,30,0
HEMM-D002,Dumper,2022-08-31,2,2,1,7,84.2,5.0,1.42,35.6,79.5,0.92,24.7,175.4,331.5,1672.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,5448,70,16.84,0.8493,99.0,0,2022,8,2,0,250,52,3,2045,0.6,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6,23.7,45.5,91.5,71.6,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,89,0
HEMM-E001,Excavator,2023-12-29,3,1,2,3,91.0,4.48,1.24,29.0,75.7,0.81,24.4,176.4,309.0,1690.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,3653,90,20.31,0.7337,94.4,0,2023,12,4,0,200,147,3,2873,0.6,1,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6,34.2,63.5,90.4,75.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,156,0
HEMM-DR01,Drill Rig,2021-08-01,1,1,2,18,91.3,3.86,2.29,42.0,86.1,0.97,23.7,179.6,314.0,1746.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,11713,117,23.65,1.3116,92.8,0,2021,8,6,3,150,137,3,23931,6.3,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,87.8,54.2,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,163,0
HEMM-D003,Dumper,2021-11-11,2,1,1,15,74.3,3.0,1.74,42.9,82.5,0.78,24.2,150.0,287.9,1707.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,-1,0,0,0,0,0,-1,0,0,11945,47,28.04,1.0193,90.8,1,2021,11,3,1,250,55,0,107367,19.8,2,142,2,0,0,2,0,0,0,0,0,0,0,2,0,0,5.0,5.0,5.0,89.6,65.2,Hydraulic Failure,5,Hydraulics,5,Critical,0,Hydraulic Seal/Pump,IMMEDIATE ACTION: Stop machine. Replace Hydraulics. Contact maintenance team.,0,1
HEMM-B001,Dozer,2021-05-25,0,2,0,8,82.2,4.43,1.94,47.3,76.1,0.85,23.6,190.9,306.5,1787.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,4437,57,18.56,1.0856,97.3,0,2021,5,1,0,250,63,3,3440,0.2,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,49.4,55.6,87.4,61.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,122,0
HEMM-G002,Grader,2023-06-06,4,0,1,1,97.9,4.62,1.85,37.1,72.0,0.97,25.0,156.3,335.8,1688.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6581,91,21.19,1.096,89.6,0,2023,6,1,0,300,19,1,7700,0.2,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2,5.0,34.2,92.6,63.0,None,6,None,6,Low,2,No Parts Required,Perform scheduled PM now. PM interval: 300 hrs.,116,0
HEMM-D003,Dumper,2021-04-04,2,2,1,3,102.4,4.33,1.94,33.3,77.4,0.91,23.9,182.7,303.5,1709.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6060,69,23.65,1.1352,88.6,0,2021,4,6,2,250,190,3,48944,8.6,0,78,1,1,0,0,0,0,0,0,0,1,0,0,0,0,49.5,16.4,39.4,88.5,61.2,None,6,None,6,High,1,No Parts Required,Schedule maintenance within 48 hours. Check all systems.,149,0
HEMM-B002,Dozer,2021-06-27,0,0,2,15,94.4,4.47,4.5,36.4,78.8,1.0,25.5,188.4,310.9,1932.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,1,0,0,0,0,0,0,0,6449,55,21.12,2.6501,84.5,1,2021,6,6,1,250,51,0,171778,17.8,0,150,0,0,0,0,2,0,0,0,0,0,0,0,2,0,46.3,29.1,35.5,94.4,5.0,Brake Failure,0,Brakes,0,Critical,0,Brake Pads/Disc,IMMEDIATE ACTION: Stop machine. Replace Brakes. Contact maintenance team.,2,1
HEMM-D005,Dumper,2023-03-12,2,2,0,10,93.1,4.77,2.32,34.1,75.8,1.0,24.8,186.4,323.1,1781.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,10588,23,19.52,1.3026,92.5,0,2023,3,6,3,250,162,3,11645,5.3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,51.3,5.0,91.9,53.6,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,32,0
HEMM-G001,Grader,2021-01-23,4,2,1,18,85.35,4.51,4.5,42.1,70.0,0.93,24.2,173.8,299.2,1870.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,1,0,-1,0,0,0,0,0,2516,20,18.92,4.1283,69.9,1,2021,1,5,1,300,184,0,196120,45.7,3,127,0,0,2,0,1,0,0,0,0,0,2,0,1,0,79.0,89.9,74.8,89.6,5.0,Tyre Burst,8,Tyres,8,Critical,0,Tyre Set,IMMEDIATE ACTION: Stop machine. Replace Tyres. Contact maintenance team.,6,1
HEMM-B002,Dozer,2022-03-07,0,2,2,12,96.4,4.41,2.18,42.9,79.0,0.83,24.0,176.5,308.3,1778.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,3669,57,21.86,1.2261,92.1,0,2022,3,0,0,250,81,3,4041,0.3,1,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,58.2,63.3,88.9,56.4,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,135,0
HEMM-D005,Dumper,2021-11-26,2,1,0,8,73.5,4.42,1.65,39.4,79.4,0.76,25.0,184.6,330.7,1555.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,10307,111,16.63,1.0611,98.6,0,2021,11,4,3,250,193,3,13976,6.6,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,5.0,5.0,92.6,67.0,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,157,0
HEMM-E001,Excavator,2021-04-22,3,2,1,15,83.8,5.12,1.67,49.0,82.0,0.96,25.0,176.1,346.1,1751.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,10762,75,16.37,0.9537,100.0,0,2021,4,3,3,200,38,2,24957,4.9,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,5.0,5.0,92.6,66.6,None,6,None,6,Medium,3,No Parts Required,Plan PM in next 38 hours.,130,0
HEMM-D003,Dumper,2022-05-29,2,1,0,7,73.7,3.88,2.57,39.7,83.1,0.96,24.1,188.8,322.9,1936.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,9712,67,18.99,1.3275,95.2,0,2022,5,6,3,250,38,2,14369,6.3,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,5.0,5.0,89.3,48.6,None,6,None,6,Medium,3,No Parts Required,Plan PM in next 38 hours.,36,0
HEMM-E003,Excavator,2021-07-24,3,0,1,20,77.6,4.45,1.94,37.2,82.1,0.95,24.5,163.5,299.3,1788.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1343,120,17.44,1.085,99.8,0,2021,7,5,0,200,57,3,5806,0.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8,67.8,86.6,90.7,61.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,68,0
HEMM-DR02,Drill Rig,2022-11-04,1,2,1,10,72.3,3.96,2.29,27.6,81.1,0.86,23.6,199.0,351.5,1742.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,11561,79,18.26,1.3146,96.1,0,2022,11,4,3,150,139,3,27404,4.8,2,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,87.4,54.2,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,154,0
HEMM-G001,Grader,2022-10-10,4,0,1,6,75.2,4.12,2.67,40.0,85.0,0.99,24.5,192.4,307.7,1849.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,279,45,18.25,1.444,96.1,0,2022,10,0,0,300,21,2,6578,0.7,1,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7,97.5,97.2,90.7,46.6,None,6,None,6,Low,2,No Parts Required,Plan PM in next 21 hours.,65,0
HEMM-DR01,Drill Rig,2022-07-21,1,0,0,5,87.4,4.66,2.06,48.5,76.5,0.99,25.0,180.7,361.2,1656.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,11334,98,18.76,1.244,96.4,0,2022,7,3,3,150,66,3,29511,4.1,2,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.0,5.0,92.6,58.8,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,105,0
HEMM-DR02,Drill Rig,2023-07-02,1,0,1,10,80.9,4.45,2.18,44.3,81.9,0.94,22.0,180.0,351.4,1703.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,-1,0,0,0,8178,75,18.18,1.2801,99.2,0,2023,7,6,1,150,72,0,133177,13.6,0,164,2,0,0,0,0,2,0,0,0,0,0,0,0,2,31.8,5.0,18.2,68.9,56.4,Electrical Fault,2,Electrical,2,Critical,0,Battery/Alternator,IMMEDIATE ACTION: Stop machine. Replace Electrical. Contact maintenance team.,1,1
HEMM-D005,Dumper,2022-02-07,2,0,1,3,98.8,4.87,1.79,44.6,83.7,1.0,24.5,178.9,313.9,1750.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1435,119,20.29,1.0229,93.1,0,2022,2,0,0,250,65,3,5625,0.5,3,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,65.8,85.6,90.7,64.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,150,0
HEMM-D001,Dumper,2023-04-10,2,2,0,7,82.1,4.7,2.21,44.7,81.7,0.92,24.7,178.5,307.2,1804.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,800,75,17.47,1.2251,99.2,0,2023,4,0,0,250,200,3,7018,0.2,3,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3,88.0,92.0,91.5,55.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,167,0
HEMM-SC01,Scraper,2023-08-25,5,2,1,5,89.3,4.41,2.4,35.7,81.6,0.89,24.2,183.5,340.3,1730.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6193,55,20.25,1.3873,96.0,0,2023,8,4,0,300,107,3,7892,0.9,1,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,31.9,38.1,89.6,52.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,140,0
HEMM-B002,Dozer,2021-10-02,0,0,0,17,86.8,3.84,2.23,33.7,76.3,0.95,23.7,173.7,267.6,1652.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,8562,16,22.6,1.3499,92.8,0,2021,10,5,3,250,188,3,26540,7.9,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,72.6,14.4,87.8,55.4,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,124,0
HEMM-D001,Dumper,2022-05-05,2,2,0,6,98.2,4.25,2.04,40.6,80.0,0.62,23.6,178.7,292.3,1890.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,8623,22,23.11,1.0794,91.2,0,2022,5,3,1,250,127,0,161867,46.3,1,171,2,0,0,0,0,0,0,0,2,0,0,0,0,0,28.1,62.1,13.8,87.4,59.2,Cooling System Failure,1,Cooling System,1,Critical,0,No Parts Required,IMMEDIATE ACTION: Stop machine. Replace Cooling System. Contact maintenance team.,2,1
HEMM-G001,Grader,2021-03-24,4,1,0,16,79.6,4.04,2.01,39.3,79.6,0.83,24.0,172.9,327.3,1732.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,3996,13,19.7,1.1605,96.7,0,2021,3,2,0,300,204,3,6488,0.5,2,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,89.6,60.0,88.9,59.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,109,0
HEMM-D002,Dumper,2022-02-28,2,2,0,12,75.3,4.76,1.94,45.6,77.5,0.81,24.1,175.2,330.6,1734.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6558,65,15.82,1.1188,98.2,0,2022,2,0,0,250,192,3,5652,0.8,1,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,14.7,34.4,89.3,61.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,41,0
HEMM-D002,Dumper,2022-10-26,2,1,0,17,86.0,3.55,1.27,41.1,86.1,0.97,24.0,177.2,335.1,1594.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,10580,111,24.23,0.7967,94.8,0,2022,10,2,3,250,170,3,15215,2.4,3,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,5.0,5.0,88.9,74.6,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,108,0
HEMM-B001,Dozer,2021-12-23,0,0,2,13,91.0,4.78,3.0,36.9,76.4,0.95,24.1,181.9,356.4,1843.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6185,80,19.04,1.6278,91.8,0,2021,12,3,0,250,65,3,5888,0.8,1,126,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,5.0,38.1,89.3,40.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,98,0
HEMM-D003,Dumper,2023-11-25,2,0,0,13,95.0,4.85,2.04,35.6,87.6,0.76,23.9,192.9,310.3,1863.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,3851,71,19.59,1.095,94.9,0,2023,11,5,0,250,149,3,5686,0.0,2,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.9,45.3,61.5,88.5,59.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,151,0
HEMM-G001,Grader,2023-09-25,4,0,1,20,92.1,3.99,2.71,35.9,84.4,1.0,25.1,184.9,295.5,1942.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,308,69,23.08,1.3955,91.8,0,2023,9,0,0,300,292,3,4123,0.0,0,166,3,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4,95.7,96.9,93.0,45.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,77,0
HEMM-E003,Excavator,2021-06-07,3,2,1,9,84.8,5.04,4.5,40.2,77.3,0.81,24.7,185.4,331.3,2108.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,1,0,0,0,0,0,0,0,3665,24,16.83,2.6233,87.5,1,2021,6,0,1,200,135,0,114812,13.5,1,63,1,0,0,0,2,0,0,0,0,0,0,0,2,0,69.5,82.4,63.4,91.5,5.0,Brake Failure,0,Brakes,0,Critical,0,Brake Pads/Disc,IMMEDIATE ACTION: Stop machine. Replace Brakes. Contact maintenance team.,1,1
HEMM-DR01,Drill Rig,2022-11-08,1,2,0,4,87.4,4.73,2.18,45.7,87.0,0.76,24.7,185.5,337.6,1699.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,8089,91,18.48,1.2831,98.3,0,2022,11,1,3,150,11,1,19086,5.8,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6,5.0,19.1,91.5,56.4,None,6,None,6,Medium,3,No Parts Required,Perform scheduled PM now. PM interval: 150 hrs.,76,0
HEMM-E001,Excavator,2023-04-22,3,1,2,8,86.8,4.1,2.3,41.3,82.2,0.91,24.5,178.2,333.0,1747.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,906,21,21.17,1.3165,96.2,0,2023,4,5,0,200,94,3,6270,0.1,3,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92.4,96.2,90.9,90.7,54.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,38,0
HEMM-D005,Dumper,2023-11-16,2,1,1,19,76.6,4.21,1.96,37.3,82.5,0.98,24.4,191.1,333.7,1940.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,2606,12,18.19,1.0103,98.6,0,2023,11,3,0,250,144,3,5969,0.2,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.3,93.7,73.9,90.4,60.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,171,0
HEMM-E001,Excavator,2023-11-25,3,0,1,20,86.5,4.09,1.38,34.3,80.0,0.9,24.0,168.1,325.4,1852.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,9434,86,21.15,0.7451,96.4,0,2023,11,5,3,200,166,3,17839,3.3,1,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,5.0,5.7,88.9,72.4,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,145,0
HEMM-B002,Dozer,2021-06-25,0,1,0,15,84.4,3.11,2.46,35.0,78.0,0.82,24.2,150.0,327.5,1759.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,-1,0,0,10137,65,27.14,1.3985,90.1,0,2021,6,4,1,250,113,0,121984,26.2,1,18,3,0,0,2,0,0,0,0,0,0,0,2,0,0,15.5,5.0,5.0,89.6,50.8,Hydraulic Failure,5,Hydraulics,5,Critical,0,Hydraulic Seal/Pump,IMMEDIATE ACTION: Stop machine. Replace Hydraulics. Contact maintenance team.,6,1
HEMM-E001,Excavator,2023-11-13,3,0,0,6,97.8,4.54,2.57,36.7,78.5,0.79,24.6,159.7,295.2,1851.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,11432,48,21.54,1.3884,90.5,0,2023,11,0,3,200,168,3,24413,2.4,3,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,91.1,48.6,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,127,0
HEMM-D003,Dumper,2022-04-16,2,0,1,13,97.4,4.3,1.76,29.2,89.0,0.88,24.7,170.0,311.0,1865.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,2366,18,22.65,0.9437,92.8,0,2022,4,5,0,250,134,3,2634,0.6,1,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,80.3,91.5,76.3,91.5,64.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,121,0
