Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Failure_Type,Failure_Component,Maintenance_Priority,Days_to_Next_Failure,Failure
HEMM-DR01,Drill Rig,2021-09-28,1,0,1,3,89.0,4.27,1.86,36.2,81.0,0.96,24.7,174.0,321.7,1959.0,3951,54,20.84,0.9495,96.4,0,2021,9,1,None,None,Low,103,0
HEMM-D004,Dumper,2021-07-31,2,0,0,12,102.7,4.64,1.82,44.7,81.7,0.75,23.3,183.3,319.9,1728.0,5102,22,22.13,1.0532,91.0,0,2021,7,5,None,None,High,44,0
HEMM-D005,Dumper,2021-10-20,2,1,2,17,72.8,3.91,1.92,44.0,75.9,0.89,24.3,173.2,305.1,1732.0,9428,6,18.62,1.1085,94.6,0,2021,10,2,None,None,Medium,98,0
HEMM-DR02,Drill Rig,2022-12-21,1,2,1,7,75.9,4.51,1.43,27.5,86.3,0.84,24.0,175.2,287.3,1822.0,10490,100,16.83,0.7849,100.0,0,2022,12,2,None,None,Medium,170,0
HEMM-DR02,Drill Rig,2022-03-21,1,1,1,4,82.0,5.06,1.58,36.0,81.3,0.93,24.5,178.9,344.4,1692.0,2493,101,16.21,0.9338,99.7,0,2022,3,0,None,None,Low,51,0
HEMM-G002,Grader,2022-12-21,4,0,0,11,92.5,4.26,1.81,29.1,85.7,1.0,25.0,186.8,296.9,1875.0,2490,36,21.71,0.9653,95.0,0,2022,12,2,None,None,Low,126,0
HEMM-E003,Excavator,2022-08-07,3,2,0,1,86.6,3.98,1.21,38.7,75.2,0.93,24.6,167.2,311.0,1975.0,10987,117,21.76,0.6127,93.9,0,2022,8,6,None,None,Medium,60,0
HEMM-L002,Wheel Loader,2022-01-22,6,2,1,13,84.6,3.87,1.62,35.2,73.9,0.81,24.5,169.0,317.8,1740.0,5042,87,21.86,0.931,93.6,0,2022,1,5,None,None,Low,99,0
HEMM-E003,Excavator,2023-10-11,3,0,2,4,87.5,4.74,1.88,33.2,90.1,0.76,25.3,180.0,336.2,1738.0,4149,68,18.46,1.0817,98.8,0,2023,10,2,None,None,Low,162,0
HEMM-L002,Wheel Loader,2021-01-25,6,0,2,11,85.8,4.37,1.95,34.0,83.6,0.78,23.6,189.9,332.9,1563.0,2362,54,19.63,1.2476,98.9,0,2021,1,0,None,None,Low,88,0
HEMM-SC01,Scraper,2021-12-20,5,0,1,3,132.8,4.45,2.34,49.2,79.7,0.63,25.0,164.9,411.4,1653.0,473,80,29.84,1.4156,73.9,1,2021,12,0,Engine Overheat,Engine,Critical,3,1
HEMM-D002,Dumper,2023-03-27,2,2,2,10,89.1,4.83,2.13,35.3,85.4,0.84,23.8,183.2,316.7,1876.0,10498,96,18.45,1.1354,97.6,0,2023,3,0,None,None,Medium,131,0
HEMM-DR01,Drill Rig,2023-04-04,1,1,1,18,89.1,4.69,2.43,33.6,83.4,0.91,24.2,179.3,341.6,1754.0,9008,83,19.0,1.3854,96.7,0,2023,4,1,None,None,Medium,98,0
HEMM-B002,Dozer,2021-06-11,0,2,0,7,84.1,4.96,1.72,30.4,81.2,0.98,24.8,185.7,334.6,1693.0,2745,73,16.96,1.0159,99.7,0,2021,6,4,None,None,Low,55,0
HEMM-D003,Dumper,2022-09-28,2,2,1,14,93.8,4.2,6.11,36.4,57.5,0.9,23.6,157.7,324.5,1744.0,4109,12,22.33,3.5034,72.0,1,2022,9,2,Tyre Burst,Tyres,Critical,6,1
HEMM-DR02,Drill Rig,2021-04-23,1,0,2,6,87.5,1.92,1.91,43.9,84.4,0.77,23.5,128.8,349.9,1751.0,2156,6,45.57,1.0908,85.8,1,2021,4,4,Hydraulic Failure,Hydraulics,Critical,0,1
HEMM-L001,Wheel Loader,2022-12-12,6,2,0,17,81.0,4.11,6.92,33.1,47.4,0.8,24.5,184.9,334.1,1750.0,4447,26,19.71,3.9543,69.4,1,2022,12,0,Tyre Burst,Tyres,Critical,4,1
HEMM-D001,Dumper,2022-11-18,2,0,0,9,85.35,4.04,2.34,40.1,82.4,0.8,24.7,198.7,344.9,1871.0,8782,13,21.13,1.2507,96.5,0,2022,11,4,None,None,Medium,116,0
HEMM-D003,Dumper,2023-10-14,2,0,0,17,92.8,4.73,2.41,41.2,82.0,0.82,24.5,176.6,332.6,1737.0,6100,12,19.62,1.3874,94.9,0,2023,10,5,None,None,Low,84,0
HEMM-E001,Excavator,2023-01-24,3,1,2,9,80.7,4.24,2.35,37.9,80.2,0.94,24.3,188.8,320.0,1840.0,1885,119,19.03,1.2772,96.9,0,2023,1,1,None,None,Low,173,0
HEMM-D004,Dumper,2022-04-13,2,2,1,17,77.3,3.75,2.37,37.9,87.1,0.98,24.4,192.5,331.1,1765.0,242,10,20.61,1.3428,95.1,0,2022,4,2,None,None,Low,130,0
HEMM-L001,Wheel Loader,2023-01-16,6,0,1,5,74.4,4.46,2.76,40.4,82.4,0.87,23.8,188.3,283.2,2040.0,3132,114,16.68,1.3529,97.5,0,2023,1,0,None,None,Low,98,0
HEMM-DR01,Drill Rig,2022-04-05,1,0,0,8,106.4,4.04,2.22,44.7,77.0,0.88,25.1,191.4,292.2,1876.0,7019,97,26.34,1.1834,84.3,0,2022,4,1,None,None,High,83,0
HEMM-D003,Dumper,2023-02-03,2,1,1,17,82.9,2.66,4.75,38.2,74.6,0.8,24.1,179.9,315.7,1221.0,11231,120,31.17,3.8903,79.6,1,2023,2,4,Transmission Failure,Transmission,Critical,0,1
HEMM-D003,Dumper,2023-08-11,2,0,2,10,90.8,5.11,1.45,29.4,74.3,0.83,24.7,185.8,318.0,1794.0,5562,16,17.77,0.8082,94.0,0,2023,8,4,None,None,Low,38,0
HEMM-G001,Grader,2022-02-15,4,0,2,19,81.4,4.1,2.41,34.7,77.3,0.86,25.0,178.3,323.8,1810.0,5179,99,19.85,1.3315,94.9,0,2022,2,1,None,None,Low,49,0
HEMM-G001,Grader,2023-10-08,4,1,1,18,80.5,4.23,1.66,39.1,82.3,0.98,25.2,180.1,308.1,1770.0,4216,24,19.03,0.9379,98.6,0,2023,10,6,None,None,Low,58,0
HEMM-D001,Dumper,2022-04-23,2,2,2,12,81.4,4.97,1.9,34.7,82.1,0.85,24.6,174.3,336.6,1821.0,10619,112,16.38,1.0434,100.0,0,2022,4,5,None,None,Medium,159,0
HEMM-B003,Dozer,2021-01-03,0,2,1,13,77.1,4.18,1.58,34.3,81.9,0.9,24.5,196.5,324.5,1698.0,5238,18,18.44,0.9305,98.4,0,2021,1,6,None,None,Low,96,0
HEMM-E003,Excavator,2023-05-10,3,0,0,2,84.9,3.74,6.14,44.5,83.7,0.97,25.2,197.3,290.5,1290.0,2532,96,22.7,4.7597,83.8,1,2023,5,2,Transmission Failure,Transmission,Critical,3,1
HEMM-G001,Grader,2023-07-28,4,2,2,3,99.7,4.34,4.34,32.9,57.2,0.91,24.8,171.3,295.5,1929.0,9715,17,22.97,2.2499,74.9,0,2023,7,4,Tyre Burst,Tyres,Critical,6,1
HEMM-D002,Dumper,2023-06-10,2,2,0,5,85.4,4.38,2.46,23.8,81.9,0.93,24.4,196.7,311.8,1867.0,4079,42,19.5,1.3176,97.8,0,2023,6,5,None,None,Low,55,0
HEMM-G002,Grader,2022-10-31,4,0,1,15,80.4,4.3,1.57,34.3,81.6,0.89,25.3,186.2,320.8,1753.0,4655,34,18.7,0.8956,98.8,0,2022,10,0,None,None,Low,126,0
HEMM-D005,Dumper,2021-08-12,2,1,0,4,73.4,4.48,1.41,44.6,82.0,0.87,24.6,188.1,322.6,1777.0,2893,62,16.38,0.7935,99.9,0,2021,8,3,None,None,Low,175,0
HEMM-D004,Dumper,2023-01-04,2,1,0,15,96.1,4.41,3.06,37.2,76.5,0.81,24.4,186.3,320.9,1862.0,5251,64,21.79,1.6434,88.6,0,2023,1,2,None,None,Low,128,0
HEMM-D003,Dumper,2021-11-19,2,2,2,10,91.2,3.48,1.53,37.3,81.7,0.8,24.9,100.2,317.8,1917.0,11745,94,26.21,0.7981,91.7,0,2021,11,4,Hydraulic Failure,Hydraulics,Critical,5,1
HEMM-D003,Dumper,2022-05-24,2,0,2,13,84.2,4.37,1.97,36.1,85.9,0.91,24.2,196.9,329.4,1798.0,8612,11,19.27,1.0957,99.4,0,2022,5,1,None,None,Medium,121,0
HEMM-E001,Excavator,2021-03-05,3,0,2,15,91.9,4.6,1.91,35.1,87.9,0.92,24.2,173.3,305.1,1735.0,9308,100,19.98,1.1009,96.6,0,2021,3,4,None,None,Medium,71,0
HEMM-DR02,Drill Rig,2021-07-28,1,1,1,4,85.35,4.42,2.26,53.2,79.6,0.82,24.4,190.6,326.2,1711.0,395,12,19.31,1.3209,97.7,0,2021,7,2,Fuel System Failure,Fuel System,Critical,6,1
HEMM-D003,Dumper,2022-06-15,2,1,2,1,81.8,5.0,1.95,40.9,81.6,0.97,25.3,173.9,331.9,1841.0,1256,30,16.36,1.0592,99.8,0,2022,6,2,None,None,Low,166,0
HEMM-D005,Dumper,2021-07-08,2,0,1,4,87.9,2.53,5.46,39.1,81.8,0.88,23.6,180.2,322.4,1407.0,899,64,34.74,3.8806,78.2,1,2021,7,3,Transmission Failure,Transmission,Critical,6,1
HEMM-L001,Wheel Loader,2021-03-02,6,0,1,14,78.7,4.5,2.01,48.0,81.6,0.79,25.3,169.5,329.5,1829.0,3031,50,17.49,1.099,99.8,0,2021,3,1,None,None,Low,86,0
HEMM-B001,Dozer,2022-07-28,0,0,2,5,92.7,4.51,2.22,39.0,79.4,0.81,24.8,185.0,320.0,1841.0,767,83,20.55,1.2059,94.5,0,2022,7,3,None,None,Low,133,0
HEMM-B002,Dozer,2023-10-19,0,0,1,18,80.6,4.65,2.8,48.1,81.3,0.96,24.1,177.6,311.9,1747.0,8048,12,17.33,1.6027,97.3,0,2023,10,3,None,None,Medium,106,0
HEMM-D005,Dumper,2023-05-09,2,1,2,17,87.4,4.26,2.12,33.4,77.4,0.94,24.3,192.3,309.1,1790.0,4282,85,20.52,1.1844,95.4,0,2023,5,1,None,None,Low,84,0
HEMM-G002,Grader,2023-01-06,4,0,2,18,75.5,4.4,2.41,42.0,82.1,0.95,24.0,180.2,334.8,1805.0,8140,49,17.16,1.3352,98.3,0,2023,1,4,None,None,Medium,49,0
HEMM-G002,Grader,2022-07-08,4,1,1,1,138.0,5.03,2.15,52.1,79.7,0.45,24.5,173.4,413.8,1814.0,5424,81,27.44,1.1852,72.1,1,2022,7,4,Engine Overheat,Engine,Critical,4,1
HEMM-L001,Wheel Loader,2023-12-21,6,0,1,19,88.1,4.52,1.86,39.2,79.7,0.86,24.7,186.6,299.7,1763.0,4013,25,19.49,1.055,97.5,0,2023,12,3,None,None,Low,41,0
HEMM-E003,Excavator,2022-06-30,3,2,0,2,90.4,4.91,1.52,32.0,78.3,0.8,23.6,179.8,313.3,1818.0,3794,78,18.41,0.8361,95.8,0,2022,6,3,None,None,Low,90,0
HEMM-E001,Excavator,2021-12-27,3,1,2,19,84.5,3.86,2.4,33.2,77.7,0.95,25.7,170.3,331.2,1772.0,5410,108,21.89,1.3544,93.9,0,2021,12,0,None,None,Low,88,0
HEMM-D001,Dumper,2022-12-22,2,2,1,19,95.1,4.49,1.47,41.4,81.2,0.89,25.0,169.5,337.4,1681.0,2528,77,21.18,0.8745,94.6,0,2022,12,3,None,None,Low,82,0
HEMM-L001,Wheel Loader,2022-09-25,6,1,1,16,82.9,4.15,2.04,38.5,88.1,0.78,24.8,197.5,338.4,1828.0,821,16,19.98,1.116,98.1,0,2022,9,6,None,None,Low,136,0
HEMM-E003,Excavator,2021-02-10,3,2,2,16,83.2,4.42,1.65,38.9,84.4,0.95,23.4,174.7,308.8,1848.0,211,47,18.82,0.8929,99.6,0,2021,2,2,None,None,Low,79,0
HEMM-D005,Dumper,2022-11-29,2,2,1,6,84.4,4.35,7.28,40.6,47.6,0.92,25.4,186.5,304.3,1882.0,5501,12,19.4,3.8682,69.6,1,2022,11,1,Tyre Burst,Tyres,Critical,2,1
HEMM-L002,Wheel Loader,2023-01-18,6,1,0,12,84.9,4.47,1.72,39.6,76.5,0.91,24.3,161.3,303.4,1659.0,11743,89,18.99,1.0368,97.6,0,2023,1,2,None,None,Medium,124,0
HEMM-B003,Dozer,2022-09-11,0,0,0,5,85.35,5.04,1.5,39.2,79.6,0.9,24.0,176.8,315.2,1858.0,2780,98,16.93,0.8073,98.9,0,2022,9,6,None,None,High,144,0
HEMM-L001,Wheel Loader,2022-10-12,6,1,2,18,89.9,4.41,1.85,38.3,85.9,0.82,23.5,178.2,333.2,1905.0,11563,118,20.39,0.9711,97.1,0,2022,10,2,None,None,Medium,147,0
HEMM-E003,Excavator,2021-12-26,3,0,1,10,83.0,3.05,2.04,34.7,80.3,0.84,24.7,169.7,312.5,1650.0,11480,42,27.21,1.2364,91.9,0,2021,12,6,Transmission Failure,Transmission,Critical,0,1
HEMM-D002,Dumper,2022-01-08,2,2,2,11,92.4,4.42,1.76,19.5,89.0,0.75,23.3,180.2,299.7,1616.0,10216,33,20.9,1.0891,95.9,0,2022,1,5,None,None,Medium,36,0
HEMM-L001,Wheel Loader,2021-10-16,6,0,0,3,92.1,4.76,2.29,43.8,71.3,0.79,24.5,181.2,302.6,1768.0,4099,49,19.35,1.2952,91.3,0,2021,10,5,Fuel System Failure,Fuel System,Critical,1,1
HEMM-DR02,Drill Rig,2021-01-24,1,0,1,7,89.8,5.36,2.36,42.8,83.9,0.8,24.5,192.3,339.7,1660.0,4288,93,16.75,1.4217,96.5,0,2021,1,6,None,None,Low,31,0
HEMM-D004,Dumper,2021-01-03,2,1,0,13,102.6,4.98,1.5,41.9,86.1,0.8,24.3,182.4,345.1,1879.0,7379,98,20.6,0.7983,91.2,0,2021,1,6,None,None,High,62,0
HEMM-DR01,Drill Rig,2023-10-07,1,0,1,12,92.8,4.05,1.93,38.4,78.2,0.77,25.0,171.4,340.2,1679.0,9146,53,22.91,1.1495,92.3,0,2023,10,5,None,None,Medium,75,0
HEMM-E003,Excavator,2021-11-30,3,0,1,3,85.4,4.43,2.09,32.0,80.7,0.84,24.5,190.9,326.3,1796.0,747,42,19.28,1.1637,98.7,0,2021,11,1,None,None,Low,147,0
HEMM-D004,Dumper,2021-06-01,2,0,2,6,109.4,4.13,1.62,49.5,83.1,0.89,24.4,180.7,323.9,2039.0,6351,25,26.49,0.7945,86.0,0,2021,6,1,Fuel System Failure,Fuel System,Critical,1,1
HEMM-L001,Wheel Loader,2021-03-05,6,0,0,6,113.2,4.24,2.46,43.9,80.6,0.99,24.8,165.4,305.8,1714.0,10150,118,26.7,1.4352,82.7,1,2021,3,4,Fuel System Failure,Fuel System,Critical,1,1
HEMM-E002,Excavator,2022-01-25,3,0,2,18,83.7,3.78,1.87,41.7,76.9,0.91,24.3,192.3,316.5,1767.0,9049,38,22.14,1.0583,94.4,0,2022,1,1,None,None,Medium,104,0
HEMM-E003,Excavator,2021-07-16,3,1,0,13,116.0,4.87,1.88,54.0,84.4,0.71,24.5,169.9,365.0,2017.0,9567,75,23.82,0.9321,84.5,1,2021,7,4,Engine Overheat,Engine,Critical,5,1
HEMM-DR01,Drill Rig,2021-06-29,1,0,1,20,90.6,4.7,2.4,40.5,81.2,0.98,19.9,185.4,334.3,2039.0,8069,30,19.28,1.177,95.7,0,2021,6,1,Electrical Fault,Electrical,Critical,2,1
HEMM-D003,Dumper,2023-08-28,2,1,0,10,87.5,4.71,2.1,38.0,85.0,0.86,24.2,193.1,337.1,1703.0,6712,65,18.58,1.2331,98.4,0,2023,8,0,None,None,Low,141,0
HEMM-B001,Dozer,2021-07-06,0,2,0,18,87.9,4.96,2.08,42.1,81.6,0.86,25.2,182.3,330.2,1809.0,6549,28,17.72,1.1498,98.2,0,2021,7,1,None,None,Low,48,0
HEMM-G001,Grader,2022-01-18,4,0,0,2,81.5,4.51,1.33,34.4,78.9,0.8,24.8,177.4,315.8,1870.0,4513,61,18.07,0.7112,98.8,0,2022,1,1,None,None,Low,125,0
HEMM-B001,Dozer,2021-05-07,0,1,0,4,82.3,4.56,2.09,39.5,82.0,0.87,23.9,177.8,332.2,1644.0,1604,90,18.05,1.2713,99.7,0,2021,5,4,None,None,Low,115,0
HEMM-DR01,Drill Rig,2022-04-11,1,2,2,2,77.8,4.84,1.68,37.9,88.2,0.84,25.0,190.3,340.1,1878.0,6542,109,16.07,0.8946,100.0,0,2022,4,0,None,None,Low,107,0
HEMM-SC01,Scraper,2023-08-31,5,2,1,8,75.1,4.88,2.93,37.9,84.0,0.77,25.1,181.8,332.5,1772.0,8003,43,15.39,1.6535,97.2,0,2023,8,3,None,None,Medium,164,0
HEMM-D002,Dumper,2023-10-26,2,2,2,17,86.0,2.69,2.3,32.6,89.6,0.96,24.4,88.1,304.2,1773.0,9563,91,31.97,1.2972,89.6,1,2023,10,3,Hydraulic Failure,Hydraulics,Critical,7,1
HEMM-E001,Excavator,2022-03-10,3,1,1,5,73.2,4.51,2.32,38.4,77.9,0.78,24.3,205.4,319.2,1660.0,899,59,16.23,1.3976,97.4,0,2022,3,3,None,None,Low,175,0
HEMM-DR01,Drill Rig,2022-02-18,1,2,0,5,95.1,4.49,1.8,34.1,82.7,0.81,24.3,169.4,277.9,1779.0,9949,38,21.18,1.0118,94.9,0,2022,2,4,None,None,Medium,164,0
HEMM-D003,Dumper,2021-06-28,2,0,0,18,92.3,4.78,1.73,36.6,81.9,0.77,24.8,186.7,313.3,1814.0,6710,75,19.31,0.9537,96.3,0,2021,6,0,None,None,Low,109,0
HEMM-L002,Wheel Loader,2023-07-28,6,1,0,20,95.8,3.42,2.07,30.7,85.0,0.87,25.2,107.5,324.6,1825.0,9826,71,28.01,1.1342,89.0,0,2023,7,4,Hydraulic Failure,Hydraulics,Critical,2,1
HEMM-D004,Dumper,2021-08-05,2,2,2,4,88.6,4.58,2.48,42.0,77.3,0.97,25.6,171.5,330.4,1747.0,4887,116,19.34,1.4196,94.9,0,2021,8,3,None,None,Low,90,0
HEMM-DR01,Drill Rig,2022-06-25,1,0,0,16,84.7,2.96,5.78,33.8,77.3,0.86,24.5,182.7,278.5,1364.0,9572,82,28.61,4.2375,79.1,1,2022,6,5,Transmission Failure,Transmission,Critical,4,1
HEMM-D005,Dumper,2023-04-03,2,1,1,13,85.1,4.1,1.78,32.3,83.0,0.84,21.3,198.0,294.0,1615.0,5631,93,20.76,1.1022,98.0,0,2023,4,0,Electrical Fault,Electrical,Critical,7,1
HEMM-G001,Grader,2021-02-11,4,0,0,10,86.7,4.52,2.27,37.0,90.5,0.98,24.5,180.1,341.6,1607.0,5294,40,19.18,1.4126,98.3,0,2021,2,3,None,None,Low,170,0
HEMM-D004,Dumper,2022-04-12,2,1,0,10,79.0,4.41,2.58,33.5,75.9,0.96,24.1,189.3,313.4,1749.0,7459,104,17.91,1.4751,95.4,0,2022,4,1,None,None,Low,174,0
HEMM-DR01,Drill Rig,2021-07-02,1,1,0,15,100.2,3.7,0.96,48.3,85.0,0.97,24.2,173.7,331.7,1820.0,3663,110,27.08,0.5275,88.4,0,2021,7,4,None,None,High,66,0
HEMM-L002,Wheel Loader,2023-02-05,6,1,0,17,78.8,4.16,2.26,38.2,72.7,0.93,24.4,170.7,378.7,1693.0,2804,13,18.94,1.3349,93.8,0,2023,2,6,None,None,Low,89,0
HEMM-G002,Grader,2021-10-05,4,2,1,19,83.4,4.27,1.84,46.0,82.8,0.98,25.2,202.3,302.3,1743.0,674,27,19.53,1.0557,98.8,0,2021,10,1,None,None,Low,159,0
HEMM-E002,Excavator,2021-04-29,3,1,0,2,73.0,4.8,2.26,42.9,81.9,0.82,24.9,178.0,326.2,1866.0,7678,11,15.21,1.2111,99.2,0,2021,4,3,None,None,Low,79,0
HEMM-B001,Dozer,2023-01-25,0,0,1,17,74.2,4.38,1.19,31.1,89.5,0.88,23.7,184.4,353.4,1913.0,6703,86,16.94,0.6221,99.4,0,2023,1,2,None,None,Low,177,0
HEMM-E003,Excavator,2023-02-02,3,0,0,20,80.9,4.24,2.39,44.5,80.1,0.82,24.9,183.4,358.8,1929.0,7508,27,19.08,1.239,96.8,0,2023,2,3,None,None,Low,55,0
HEMM-G001,Grader,2022-12-07,4,1,0,9,87.8,3.15,2.01,36.1,72.4,0.82,24.9,97.5,332.9,1857.0,11486,16,27.87,1.0824,88.0,0,2022,12,2,Hydraulic Failure,Hydraulics,Critical,0,1
HEMM-E002,Excavator,2022-03-30,3,2,0,8,89.5,4.83,2.49,43.6,79.9,0.82,25.3,184.6,290.1,1708.0,11303,31,18.53,1.4578,95.4,0,2022,3,2,None,None,Medium,63,0
HEMM-L002,Wheel Loader,2021-02-11,6,2,2,1,88.0,4.67,4.58,33.9,79.3,0.87,23.9,165.5,313.7,2066.0,7967,21,18.84,2.2168,89.7,0,2021,2,3,Brake Failure,Brakes,Critical,0,1
HEMM-B001,Dozer,2022-09-18,0,2,0,9,78.6,5.06,2.15,38.2,80.6,0.96,24.4,179.9,319.4,1782.0,7143,119,15.53,1.2065,99.0,0,2022,9,6,None,None,Low,161,0
HEMM-DR02,Drill Rig,2022-06-01,1,1,2,15,95.0,4.89,1.55,37.1,84.9,0.91,24.8,184.5,333.3,1783.0,5150,91,19.43,0.8693,95.0,0,2022,6,2,None,None,Low,140,0
HEMM-G002,Grader,2021-07-29,4,1,0,17,92.9,4.69,1.3,35.3,81.0,0.75,25.1,178.2,299.9,1702.0,11052,112,19.81,0.7638,95.6,0,2021,7,3,None,None,Medium,80,0
HEMM-B002,Dozer,2022-09-04,0,2,0,4,79.8,4.56,2.02,40.3,85.7,0.9,25.9,171.0,300.0,1940.0,8092,13,17.5,1.0412,99.9,0,2022,9,6,None,None,Medium,80,0
HEMM-B003,Dozer,2022-07-22,0,0,2,10,85.4,4.9,1.64,39.3,81.9,0.76,24.4,158.0,280.0,1803.0,3286,24,17.43,0.9096,99.8,0,2022,7,4,None,None,Low,90,0
HEMM-D002,Dumper,2023-04-08,2,2,2,11,95.9,4.3,1.2,45.2,78.8,0.78,21.1,168.9,337.3,1763.0,11353,22,22.3,0.6807,92.3,0,2023,4,5,Electrical Fault,Electrical,Critical,7,1
HEMM-B001,Dozer,2023-05-08,0,0,2,13,82.4,4.41,1.87,25.9,76.8,0.95,24.3,195.9,295.2,1687.0,778,79,18.68,1.1085,97.5,0,2023,5,0,None,None,Low,59,0
HEMM-E002,Excavator,2022-12-04,3,2,2,8,86.3,4.33,2.02,45.0,82.2,0.98,24.2,192.5,327.9,1875.0,11444,73,19.93,1.0773,98.4,0,2022,12,6,None,None,Medium,159,0
HEMM-G001,Grader,2023-11-05,4,0,2,6,91.6,4.51,1.72,41.8,80.2,0.85,24.7,178.1,294.4,1640.0,10974,117,20.31,1.0488,96.0,0,2023,11,6,None,None,Medium,152,0
HEMM-D004,Dumper,2023-08-23,2,1,1,9,75.3,4.89,2.69,46.0,85.9,0.88,24.9,189.5,310.5,1808.0,9359,102,15.4,1.4878,97.9,0,2023,8,2,None,None,Medium,99,0
HEMM-B003,Dozer,2021-07-02,0,1,0,12,69.3,4.94,1.41,40.3,81.0,0.91,23.6,183.1,296.2,1760.0,3859,100,14.03,0.8011,99.6,0,2021,7,4,None,None,Low,173,0
HEMM-B003,Dozer,2023-02-01,0,0,1,19,81.3,4.22,2.65,35.5,77.0,0.82,23.9,166.7,318.2,1989.0,5017,64,19.27,1.3323,94.6,0,2023,2,2,None,None,Low,134,0
HEMM-D003,Dumper,2023-08-26,2,1,2,17,83.9,4.96,2.05,48.6,81.1,0.88,25.1,179.1,317.9,1963.0,2163,116,16.92,1.0443,99.5,0,2023,8,5,None,None,Low,60,0
HEMM-B002,Dozer,2023-04-27,0,1,0,5,78.8,3.79,1.73,34.9,82.4,0.82,24.3,184.2,327.2,1540.0,2450,30,20.79,1.1234,96.4,0,2023,4,3,None,None,Low,168,0
HEMM-DR02,Drill Rig,2021-10-21,1,0,0,6,80.8,4.58,2.24,44.8,79.4,0.92,24.0,180.7,326.0,1825.0,1524,67,17.64,1.2274,98.2,0,2021,10,3,None,None,Low,120,0
HEMM-E001,Excavator,2022-10-04,3,2,0,2,87.6,3.94,1.82,38.6,88.8,0.92,23.9,165.9,341.7,1785.0,277,62,22.23,1.0196,95.9,0,2022,10,1,None,None,Low,48,0
HEMM-E001,Excavator,2021-11-21,3,0,0,3,78.1,4.47,1.74,38.5,79.6,0.85,24.1,190.6,339.0,2035.0,2320,83,17.47,0.855,98.9,0,2021,11,6,None,None,Low,141,0
HEMM-G002,Grader,2023-05-29,4,0,2,13,85.7,4.27,1.79,39.9,83.7,0.76,24.4,178.3,352.7,1782.0,276,9,20.07,1.0045,98.5,0,2023,5,0,None,None,Low,41,0
HEMM-G001,Grader,2021-01-29,4,0,2,17,84.8,4.62,6.01,29.7,79.2,0.84,23.5,181.0,315.7,2076.0,3322,7,18.35,2.895,86.8,1,2021,1,4,Brake Failure,Brakes,Critical,3,1
HEMM-G001,Grader,2022-10-02,4,1,2,4,82.0,5.33,2.17,31.6,81.5,0.89,24.2,195.8,311.9,1851.0,6484,69,15.38,1.1723,99.3,0,2022,10,6,None,None,Low,86,0
HEMM-D003,Dumper,2021-04-04,2,0,2,10,89.9,4.54,2.82,33.6,87.3,0.83,25.0,179.2,339.8,1763.0,7669,98,19.8,1.5995,95.1,0,2021,4,6,None,None,Low,90,0
HEMM-B003,Dozer,2023-06-08,0,2,0,5,78.7,4.19,2.72,42.3,81.0,0.91,24.8,185.0,332.5,1676.0,5815,120,18.78,1.6229,95.9,0,2023,6,3,None,None,Low,140,0
HEMM-E002,Excavator,2021-12-04,3,0,2,1,73.0,4.23,1.69,34.9,85.4,0.8,25.1,180.1,316.4,1789.0,3942,33,17.26,0.9447,98.6,0,2021,12,5,None,None,Low,80,0
HEMM-E002,Excavator,2021-02-14,3,2,0,17,83.1,4.64,1.65,43.5,83.7,0.85,24.9,181.8,313.6,1876.0,2968,20,17.91,0.8795,100.0,0,2021,2,6,None,None,Low,138,0
HEMM-D002,Dumper,2023-02-08,2,2,1,9,74.3,4.99,1.92,36.2,75.3,0.88,25.1,186.5,352.8,1682.0,8961,84,14.89,1.1415,97.3,0,2023,2,2,None,None,Medium,155,0
HEMM-D002,Dumper,2021-08-10,2,2,1,1,93.2,4.77,1.84,39.6,87.0,0.83,24.4,162.5,315.0,1899.0,990,93,19.54,0.9689,95.9,0,2021,8,1,None,None,Low,159,0
HEMM-G002,Grader,2021-09-11,4,2,1,9,84.3,4.66,1.9,48.1,82.9,0.94,24.6,170.0,319.9,1747.0,7972,94,18.09,1.0876,100.0,0,2021,9,5,None,None,Low,56,0
HEMM-D001,Dumper,2022-09-09,2,0,0,4,85.3,4.82,1.93,38.1,79.7,0.87,23.7,186.7,370.1,1799.0,11054,71,17.7,1.0728,98.9,0,2022,9,4,None,None,Medium,157,0
HEMM-D005,Dumper,2023-05-08,2,1,1,17,86.6,4.2,2.15,43.6,75.0,0.96,23.8,186.9,329.7,1767.0,11976,84,20.62,1.2168,94.4,0,2023,5,0,None,None,Medium,68,0
HEMM-D004,Dumper,2023-10-17,2,1,0,20,77.9,4.78,2.13,34.7,83.7,0.83,24.2,173.4,326.8,1795.0,3472,104,16.3,1.1866,99.6,0,2023,10,1,None,None,Low,45,0
