Equipment_ID,Equipment_Type,Date,Shift,Operator_Experience_Yr,Road_Condition,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Days_to_Next_Failure,Failure_Component,Failure_Type,Failure,Maintenance_Priority
HEMM-G002,Grader,2021-11-01,Night,20,Poor,91.5,4.99,1.87,36.9,88.0,0.8,25.6,192.9,320.7,1707.0,1094,6,104,None,None,0,Low
HEMM-L002,Wheel Loader,2023-08-20,Afternoon,6,Fair,70.1,4.37,1.32,47.3,81.0,0.99,24.4,178.9,382.0,1774.0,1426,101,150,None,None,0,Low
HEMM-B003,Dozer,2022-07-24,Morning,17,Poor,88.0,4.78,2.77,27.1,81.7,0.84,25.1,207.0,315.4,1910.0,3848,75,155,None,None,0,Low
HEMM-E003,Excavator,2021-06-11,Afternoon,15,Good,96.5,4.12,2.1,38.3,78.7,0.85,24.1,181.8,295.0,1773.0,9588,62,111,None,None,0,Medium
HEMM-DR02,Drill Rig,2022-10-10,Morning,16,Good,87.2,4.96,1.41,42.0,87.2,0.77,24.1,183.5,295.1,1963.0,10904,7,48,None,None,0,Medium
HEMM-D002,Dumper,2021-01-01,Morning,20,Fair,88.3,4.05,2.43,32.9,83.5,0.87,25.8,181.4,296.4,2160.0,10342,86,86,None,None,0,Medium
HEMM-SC01,Scraper,2022-02-28,Night,15,Good,73.3,5.25,1.35,36.2,81.8,0.89,25.2,170.8,308.7,1824.0,5784,51,98,None,None,0,Low
HEMM-DR02,Drill Rig,2022-11-11,Night,20,Poor,81.2,4.71,1.57,38.9,77.4,0.88,24.7,186.5,308.0,1746.0,10029,65,88,None,None,0,Medium
HEMM-DR02,Drill Rig,2021-08-22,Morning,8,Fair,79.7,4.22,1.74,36.1,79.5,0.78,24.6,166.4,344.6,1849.0,235,48,50,None,None,0,Low
HEMM-B002,Dozer,2023-12-06,Afternoon,4,Good,99.1,4.33,2.19,37.5,85.9,0.92,24.0,179.9,318.5,1820.0,950,119,51,None,None,0,Low
HEMM-DR01,Drill Rig,2021-08-08,Afternoon,20,Good,90.7,4.41,1.44,30.8,86.4,0.91,24.3,164.3,341.6,1804.0,3409,29,75,None,None,0,Low
HEMM-G002,Grader,2022-03-18,Afternoon,7,Good,93.7,4.82,2.18,38.7,77.5,0.75,24.3,182.1,300.6,1884.0,11943,48,98,None,None,0,Medium
HEMM-D002,Dumper,2021-09-10,Afternoon,15,Poor,106.1,4.71,1.65,42.4,82.4,0.66,25.8,178.9,428.2,1848.0,10988,80,7,Engine,Engine Overheat,1,Critical
HEMM-L002,Wheel Loader,2021-04-10,Night,14,Poor,85.1,4.9,1.35,39.3,78.4,0.96,24.0,172.0,322.1,1569.0,9786,66,45,None,None,0,Medium
HEMM-E001,Excavator,2021-12-22,Night,5,Poor,78.3,5.03,2.54,47.0,90.4,0.81,24.9,180.0,289.1,1849.0,1896,54,157,None,None,0,Low
HEMM-B003,Dozer,2023-10-30,Afternoon,14,Good,91.7,4.06,1.31,31.8,80.3,0.77,24.6,180.3,305.7,1881.0,10177,93,123,None,None,0,Medium
HEMM-B003,Dozer,2022-08-26,Afternoon,5,Poor,78.0,4.59,2.01,51.9,82.4,0.81,25.1,184.8,359.2,1841.0,2463,57,139,None,None,0,Low
HEMM-L002,Wheel Loader,2022-09-05,Night,18,Poor,73.1,4.19,2.13,38.0,89.2,0.97,24.8,158.5,328.9,1736.0,5343,96,93,None,None,0,Low
HEMM-E002,Excavator,2022-02-16,Morning,20,Poor,87.3,4.02,2.18,39.2,86.1,0.85,25.1,199.9,327.9,1959.0,11904,42,152,None,None,0,Medium
HEMM-D005,Dumper,2021-12-31,Night,18,Fair,80.4,4.07,2.85,38.6,82.6,0.84,24.9,171.3,301.9,1745.0,11575,86,146,None,None,0,Medium
HEMM-G001,Grader,2023-09-11,Night,19,Fair,89.5,4.4,2.09,39.1,83.7,0.95,24.6,164.2,335.9,1744.0,11130,95,58,None,None,0,Medium
HEMM-SC01,Scraper,2022-08-09,Afternoon,1,Good,84.7,4.96,1.67,37.7,83.8,0.97,23.9,182.3,322.8,1996.0,8764,18,79,None,None,0,Medium
HEMM-D002,Dumper,2021-04-26,Morning,9,Poor,77.0,4.36,1.63,36.9,79.9,0.88,24.5,189.5,322.7,1681.0,2836,41,115,None,None,0,Low
HEMM-D002,Dumper,2022-08-28,Morning,18,Fair,80.2,3.17,6.1,34.9,77.9,0.9,24.9,188.2,339.1,1504.0,729,50,3,Transmission,Transmission Failure,1,Critical
HEMM-E003,Excavator,2023-11-13,Night,10,Good,81.1,4.83,2.45,31.9,80.8,0.94,25.1,174.8,300.8,1875.0,11553,90,126,None,None,0,Medium
HEMM-G002,Grader,2023-05-04,Night,11,Good,85.2,5.43,2.24,33.5,81.8,0.94,24.1,191.0,337.3,1750.0,9246,11,103,None,None,0,Medium
HEMM-E002,Excavator,2023-06-27,Morning,12,Poor,79.8,4.67,2.08,42.8,81.6,0.96,24.0,177.1,329.7,1744.0,9840,74,107,None,None,0,Medium
HEMM-E002,Excavator,2022-08-26,Afternoon,6,Good,87.4,3.97,2.53,45.7,83.3,0.88,23.9,173.4,304.7,1791.0,11384,14,52,None,None,0,Medium
HEMM-L002,Wheel Loader,2021-09-02,Afternoon,2,Poor,87.1,4.48,2.3,38.5,81.3,0.98,24.1,196.5,370.8,1871.0,7220,40,88,None,None,0,Low
HEMM-E001,Excavator,2022-06-07,Morning,11,Good,118.0,4.73,2.65,51.6,78.3,0.43,24.0,159.1,409.4,1777.0,7840,95,5,Engine,Engine Overheat,1,Critical
HEMM-B002,Dozer,2023-10-02,Night,18,Poor,84.1,4.56,1.7,39.1,88.1,0.91,24.1,165.6,336.5,1718.0,6066,14,76,None,None,0,Low
HEMM-E003,Excavator,2022-01-12,Night,3,Fair,83.0,4.35,1.17,35.8,85.1,0.98,24.9,171.9,346.8,1870.0,8476,25,170,None,None,0,Medium
HEMM-G002,Grader,2021-07-08,Afternoon,8,Fair,86.5,4.74,2.36,31.1,78.0,0.85,24.0,180.0,343.7,1703.0,3695,89,154,None,None,0,Low
HEMM-B002,Dozer,2022-03-24,Night,17,Poor,134.7,4.35,1.43,44.5,85.5,0.4,24.1,171.3,334.5,1845.0,7980,76,5,Cooling System,Cooling System Failure,1,Critical
HEMM-E003,Excavator,2022-05-15,Morning,11,Good,99.4,3.97,0.87,31.5,86.5,0.91,23.6,174.3,324.1,1846.0,6448,106,100,None,None,0,Low
HEMM-SC01,Scraper,2022-08-03,Morning,17,Poor,86.1,4.35,2.68,41.6,74.3,0.77,24.3,166.8,326.7,1774.0,6343,70,30,None,None,0,Low
HEMM-D002,Dumper,2022-08-31,Night,7,Good,84.2,5.0,1.42,35.6,79.5,0.92,24.7,175.4,331.5,1672.0,5448,70,89,None,None,0,Low
HEMM-E001,Excavator,2023-12-29,Morning,3,Poor,91.0,4.48,1.24,29.0,75.7,0.81,24.4,176.4,309.0,1690.0,3653,90,156,None,None,0,Low
HEMM-DR01,Drill Rig,2021-08-01,Morning,18,Poor,91.3,3.86,2.29,42.0,86.1,0.97,23.7,179.6,314.0,1746.0,11713,117,163,None,None,0,Medium
HEMM-D003,Dumper,2021-11-11,Morning,15,Good,74.3,2.65,1.74,42.9,82.5,0.78,24.2,122.8,287.9,1707.0,11945,47,0,Hydraulics,Hydraulic Failure,1,Critical
HEMM-B001,Dozer,2021-05-25,Night,8,Fair,82.2,4.43,1.94,47.3,76.1,0.85,23.6,190.9,306.5,1787.0,4437,57,122,None,None,0,Low
HEMM-G002,Grader,2023-06-06,Afternoon,1,Good,97.9,4.62,1.85,37.1,72.0,0.97,25.0,156.3,335.8,1688.0,6581,91,116,None,None,0,Low
HEMM-D003,Dumper,2021-04-04,Night,3,Good,102.4,4.33,1.94,33.3,77.4,0.91,23.9,182.7,303.5,1709.0,6060,69,149,None,None,0,High
HEMM-B002,Dozer,2021-06-27,Afternoon,15,Poor,94.4,4.47,5.12,36.4,78.8,1.0,25.5,188.4,310.9,1932.0,6449,55,2,Brakes,Brake Failure,1,Critical
HEMM-D005,Dumper,2023-03-12,Night,10,Fair,93.1,4.77,2.32,34.1,75.8,1.0,24.8,186.4,323.1,1781.0,10588,23,32,None,None,0,Medium
HEMM-G001,Grader,2021-01-23,Night,18,Good,84.0,4.51,7.72,42.1,50.0,0.93,24.2,173.8,299.2,1870.0,2516,20,6,Tyres,Tyre Burst,1,Critical
HEMM-B002,Dozer,2022-03-07,Night,12,Poor,96.4,4.41,2.18,42.9,79.0,0.83,24.0,176.5,308.3,1778.0,3669,57,135,None,None,0,Low
HEMM-D005,Dumper,2021-11-26,Morning,8,Fair,73.5,4.42,1.65,39.4,79.4,0.76,25.0,184.6,330.7,1555.0,10307,111,157,None,None,0,Medium
HEMM-E001,Excavator,2021-04-22,Night,15,Good,83.8,5.12,1.67,49.0,82.0,0.96,25.0,176.1,346.1,1751.0,10762,75,130,None,None,0,Medium
HEMM-D003,Dumper,2022-05-29,Morning,7,Fair,73.7,3.88,2.57,39.7,83.1,0.96,24.1,188.8,322.9,1936.0,9712,67,36,None,None,0,Medium
HEMM-E003,Excavator,2021-07-24,Afternoon,20,Good,77.6,4.45,1.94,37.2,82.1,0.95,24.5,163.5,299.3,1788.0,1343,120,68,None,None,0,Low
HEMM-DR02,Drill Rig,2022-11-04,Night,10,Good,72.3,3.96,2.29,27.6,81.1,0.86,23.6,199.0,351.5,1742.0,11561,79,154,None,None,0,Medium
HEMM-G001,Grader,2022-10-10,Afternoon,6,Good,75.2,4.12,2.67,40.0,85.0,0.99,24.5,192.4,307.7,1849.0,279,45,65,None,None,0,Low
HEMM-DR01,Drill Rig,2022-07-21,Afternoon,5,Fair,87.4,4.66,2.06,48.5,76.5,0.99,25.0,180.7,361.2,1656.0,11334,98,105,None,None,0,Medium
HEMM-DR02,Drill Rig,2023-07-02,Afternoon,10,Good,80.9,4.45,2.18,44.3,81.9,0.94,18.6,180.0,351.4,1703.0,8178,75,1,Electrical,Electrical Fault,1,Critical
HEMM-D005,Dumper,2022-02-07,Afternoon,3,Good,98.8,4.87,1.79,44.6,83.7,1.0,24.5,178.9,313.9,1750.0,1435,119,150,None,None,0,Low
HEMM-D001,Dumper,2023-04-10,Night,7,Fair,82.1,4.7,2.21,44.7,81.7,0.92,24.7,178.5,307.2,1804.0,800,75,167,None,None,0,Low
HEMM-SC01,Scraper,2023-08-25,Night,5,Good,89.3,4.41,2.4,35.7,81.6,0.89,24.2,183.5,340.3,1730.0,6193,55,140,None,None,0,Low
HEMM-B002,Dozer,2021-10-02,Afternoon,17,Fair,86.8,3.84,2.23,33.7,76.3,0.95,23.7,173.7,267.6,1652.0,8562,16,124,None,None,0,Medium
HEMM-D001,Dumper,2022-05-05,Night,6,Fair,98.2,4.25,2.73,40.6,80.0,0.62,23.6,178.7,292.3,1890.0,8623,22,2,Cooling System,Cooling System Failure,1,Critical
HEMM-G001,Grader,2021-03-24,Morning,16,Fair,79.6,4.04,2.01,39.3,79.6,0.83,24.0,172.9,327.3,1732.0,3996,13,109,None,None,0,Low
HEMM-D002,Dumper,2022-02-28,Night,12,Fair,75.3,4.76,1.94,45.6,77.5,0.81,24.1,175.2,330.6,1734.0,6558,65,41,None,None,0,Low
HEMM-D002,Dumper,2022-10-26,Morning,17,Fair,86.0,3.55,1.27,41.1,86.1,0.97,24.0,177.2,335.1,1594.0,10580,111,108,None,None,0,Medium
HEMM-B001,Dozer,2021-12-23,Afternoon,13,Poor,91.0,4.78,3.0,36.9,76.4,0.95,24.1,181.9,356.4,1843.0,6185,80,98,None,None,0,Low
HEMM-D003,Dumper,2023-11-25,Afternoon,13,Fair,95.0,4.85,2.76,35.6,87.6,0.76,23.9,192.9,310.3,1863.0,3851,71,151,None,None,0,Low
HEMM-G001,Grader,2023-09-25,Afternoon,20,Good,92.1,3.99,2.71,35.9,84.4,1.0,25.1,184.9,295.5,1942.0,308,69,77,None,None,0,Low
HEMM-E003,Excavator,2021-06-07,Night,9,Good,84.8,5.04,5.53,40.2,77.3,0.81,24.7,185.4,331.3,2108.0,3665,24,1,Brakes,Brake Failure,1,Critical
HEMM-DR01,Drill Rig,2022-11-08,Night,4,Fair,87.4,4.73,2.18,45.7,87.0,0.76,24.7,185.5,337.6,1699.0,8089,91,76,None,None,0,Medium
HEMM-E001,Excavator,2023-04-22,Morning,8,Poor,86.8,4.1,2.3,41.3,82.2,0.91,24.5,178.2,333.0,1747.0,906,21,38,None,None,0,Low
HEMM-D005,Dumper,2023-11-16,Morning,19,Good,76.6,4.21,1.96,37.3,82.5,0.98,24.4,191.1,333.7,1940.0,2606,12,171,None,None,0,Low
HEMM-E001,Excavator,2023-11-25,Afternoon,20,Good,86.5,4.09,1.38,34.3,80.0,0.9,24.0,168.1,325.4,1852.0,9434,86,145,None,None,0,Medium
HEMM-B002,Dozer,2021-06-25,Morning,15,Fair,84.4,3.11,2.46,35.0,78.0,0.82,24.2,131.1,327.5,1759.0,10137,65,6,Hydraulics,Hydraulic Failure,1,Critical
HEMM-E001,Excavator,2023-11-13,Afternoon,6,Fair,97.8,4.54,2.57,36.7,78.5,0.79,24.6,159.7,295.2,1851.0,11432,48,127,None,None,0,Medium
HEMM-D003,Dumper,2022-04-16,Afternoon,13,Good,97.4,4.3,1.76,29.2,89.0,0.88,24.7,170.0,311.0,1865.0,2366,18,121,None,None,0,Low
HEMM-L002,Wheel Loader,2023-05-10,Morning,20,Fair,94.7,4.91,1.9,28.8,74.5,0.82,25.0,175.0,343.2,1886.0,1777,27,154,None,None,0,Low
HEMM-D002,Dumper,2023-12-25,Night,4,Poor,81.4,2.19,7.66,38.3,75.5,0.84,24.7,179.6,306.9,1300.0,1726,66,0,Transmission,Transmission Failure,1,Critical
HEMM-L002,Wheel Loader,2023-05-12,Afternoon,2,Fair,89.1,4.22,1.8,26.5,85.0,0.85,24.6,172.9,337.3,1798.0,11630,72,57,None,None,0,Medium
HEMM-L001,Wheel Loader,2023-02-20,Afternoon,19,Good,71.1,4.37,1.36,38.2,81.5,0.85,24.1,173.3,300.4,1980.0,11614,78,73,None,None,0,Medium
HEMM-B001,Dozer,2023-09-05,Morning,3,Poor,90.0,5.22,2.26,43.4,83.4,0.86,24.2,167.3,350.7,1789.0,4841,81,69,None,None,0,Low
HEMM-E002,Excavator,2021-01-12,Night,1,Good,87.4,4.83,1.75,42.3,71.2,0.82,24.3,162.7,322.1,1791.0,9669,71,122,None,None,0,Medium
HEMM-G002,Grader,2022-02-25,Night,11,Good,87.1,5.31,1.79,40.2,81.1,0.78,19.7,162.5,304.6,1809.0,6898,51,4,Electrical,Electrical Fault,1,Critical
HEMM-SC01,Scraper,2023-05-18,Night,12,Poor,85.5,4.0,2.08,34.4,74.9,0.83,24.7,173.0,315.2,1847.0,10225,40,114,None,None,0,Medium
HEMM-E002,Excavator,2023-04-27,Night,18,Fair,84.0,4.9,1.89,32.5,75.1,0.84,24.4,179.6,294.9,1861.0,8104,27,55,None,None,0,Medium
HEMM-L001,Wheel Loader,2022-06-04,Afternoon,19,Poor,93.9,5.27,1.95,26.2,84.6,0.91,23.8,163.0,297.3,1825.0,5841,104,121,None,None,0,Low
HEMM-D005,Dumper,2021-09-01,Night,8,Poor,93.4,4.47,2.7,42.3,84.3,0.85,25.0,194.1,321.3,1662.0,7517,105,172,None,None,0,Low
HEMM-D004,Dumper,2022-03-16,Night,13,Poor,72.5,4.45,2.15,38.1,82.6,0.84,24.0,171.3,302.3,1980.0,5744,107,86,None,None,0,Low
HEMM-D002,Dumper,2021-11-26,Afternoon,1,Good,84.7,4.91,2.33,38.4,81.5,0.82,25.0,164.3,290.2,1700.0,1692,110,178,None,None,0,Low
HEMM-DR01,Drill Rig,2021-06-30,Morning,9,Good,77.6,4.15,1.52,31.6,86.0,0.8,24.3,171.2,312.8,1830.0,3833,52,63,None,None,0,Low
HEMM-G002,Grader,2023-04-01,Night,17,Poor,113.7,5.14,2.36,40.2,82.0,0.68,24.5,183.0,353.3,1588.0,4893,96,2,Cooling System,Cooling System Failure,1,Critical
HEMM-DR02,Drill Rig,2021-01-22,Morning,17,Good,88.3,5.16,1.99,38.4,82.3,0.87,24.2,182.1,295.7,1796.0,4885,29,134,None,None,0,Low
HEMM-L002,Wheel Loader,2023-11-23,Night,8,Poor,139.0,4.43,2.48,48.7,82.2,0.51,24.4,175.8,433.1,1912.0,10279,26,3,Engine,Engine Overheat,1,Critical
HEMM-E001,Excavator,2021-06-27,Afternoon,13,Fair,94.6,4.76,2.03,43.1,82.1,0.84,23.9,161.6,362.1,1984.0,5985,90,127,None,None,0,Low
HEMM-E002,Excavator,2023-11-27,Morning,3,Fair,88.7,4.42,1.33,46.1,86.9,0.99,24.8,169.9,320.0,1704.0,1677,75,145,None,None,0,Low
HEMM-SC01,Scraper,2022-12-14,Afternoon,9,Good,63.3,4.31,1.84,37.1,86.0,0.85,24.5,174.6,359.8,1983.0,3907,82,58,None,None,0,Low
HEMM-G002,Grader,2021-01-10,Afternoon,6,Good,80.6,4.21,2.0,32.4,78.5,0.93,24.3,168.5,322.2,1839.0,6870,69,79,None,None,0,Low
HEMM-L002,Wheel Loader,2022-08-26,Afternoon,4,Poor,75.6,3.81,2.32,37.6,81.5,0.8,25.4,171.5,368.8,1844.0,8609,37,96,None,None,0,Medium
HEMM-B001,Dozer,2023-06-26,Afternoon,19,Good,76.0,3.57,2.5,30.6,84.5,0.94,25.1,169.2,333.2,1810.0,8123,103,77,None,None,0,Medium
HEMM-DR02,Drill Rig,2023-08-02,Night,1,Fair,103.1,4.88,5.38,38.4,86.8,0.92,24.5,190.3,341.9,2008.0,8096,19,3,Brakes,Brake Failure,1,Critical
HEMM-B003,Dozer,2023-04-25,Afternoon,17,Poor,88.3,4.94,1.55,41.2,78.5,0.79,25.4,180.5,348.0,1522.0,8976,6,72,None,None,0,Medium
HEMM-E003,Excavator,2022-08-12,Morning,13,Fair,99.2,4.57,1.67,30.6,89.2,0.54,24.5,173.3,296.2,1802.0,11237,100,2,Cooling System,Cooling System Failure,1,Critical
HEMM-B003,Dozer,2022-12-26,Morning,19,Poor,75.0,4.68,1.72,35.3,79.1,0.8,23.9,176.0,319.9,1828.0,4608,28,150,None,None,0,Low
HEMM-E002,Excavator,2023-10-19,Night,7,Good,101.3,4.71,1.4,39.3,75.3,0.98,24.5,192.1,320.8,1746.0,4047,99,35,None,None,0,High
HEMM-E002,Excavator,2022-04-15,Morning,8,Good,90.9,4.21,1.64,36.0,80.3,0.91,24.9,169.1,371.2,1975.0,10335,50,82,None,None,0,Medium
HEMM-D004,Dumper,2021-06-10,Night,16,Poor,84.7,4.37,1.69,38.1,84.2,0.91,23.8,168.8,320.0,1756.0,10256,5,30,None,None,0,Medium
HEMM-L001,Wheel Loader,2023-01-31,Night,11,Poor,88.7,4.26,1.15,37.5,82.7,0.94,23.9,170.8,305.7,1679.0,8266,119,74,None,None,0,Medium
HEMM-L001,Wheel Loader,2022-01-10,Night,9,Poor,125.5,4.19,2.08,38.5,80.4,0.5,24.6,177.4,311.7,1608.0,6718,33,6,Cooling System,Cooling System Failure,1,Critical
HEMM-SC01,Scraper,2021-03-08,Night,12,Poor,93.1,3.97,1.59,30.0,78.7,0.85,23.9,180.9,356.1,2067.0,6650,115,78,None,None,0,Low
HEMM-DR02,Drill Rig,2021-09-04,Night,17,Poor,85.8,2.52,4.69,37.0,82.1,0.77,24.4,177.7,325.0,1460.0,7737,45,3,Transmission,Transmission Failure,1,Critical
HEMM-D004,Dumper,2022-10-29,Afternoon,20,Poor,76.5,4.48,2.76,43.8,87.4,0.97,24.5,172.8,354.2,1994.0,4454,28,116,None,None,0,Low
HEMM-B001,Dozer,2023-08-24,Night,11,Fair,91.8,5.05,2.35,36.7,81.3,0.98,23.9,182.0,328.2,1757.0,6195,28,138,None,None,0,Low
HEMM-DR01,Drill Rig,2023-02-02,Afternoon,13,Good,81.0,4.48,2.4,35.1,86.5,0.92,25.0,173.7,314.0,1877.0,4781,62,124,None,None,0,Low
HEMM-E003,Excavator,2021-07-24,Night,9,Fair,80.8,4.31,2.32,38.4,92.2,0.76,24.5,186.9,301.7,1753.0,4063,76,155,None,None,0,Low
HEMM-E002,Excavator,2021-10-26,Night,5,Good,90.7,3.24,2.64,44.8,87.4,0.89,25.2,126.6,326.5,2024.0,7949,108,7,Hydraulics,Hydraulic Failure,1,Critical
HEMM-L002,Wheel Loader,2023-12-30,Night,11,Fair,63.2,4.28,2.01,43.7,83.6,0.79,25.3,196.3,318.9,1825.0,8172,43,129,None,None,0,Medium
HEMM-D002,Dumper,2023-03-27,Morning,6,Fair,80.7,4.62,1.82,36.1,77.9,0.94,25.2,189.8,308.3,1715.0,1183,32,162,None,None,0,Low
HEMM-D004,Dumper,2023-07-11,Night,11,Fair,79.4,3.85,2.22,28.5,85.1,0.83,25.0,184.0,341.0,1832.0,4456,51,44,None,None,0,Low
HEMM-B001,Dozer,2022-12-06,Morning,14,Poor,62.7,4.94,2.01,36.7,85.9,0.93,25.4,172.9,322.3,1824.0,2186,49,94,None,None,0,Low
HEMM-E002,Excavator,2021-12-24,Afternoon,12,Poor,77.5,3.91,1.73,40.6,78.5,0.91,24.0,194.7,337.5,1720.0,5526,91,149,None,None,0,Low
HEMM-DR02,Drill Rig,2021-06-10,Afternoon,20,Poor,91.4,5.32,2.22,37.2,83.4,0.81,25.1,174.0,297.8,1613.0,4894,64,105,None,None,0,Low
HEMM-E001,Excavator,2022-11-22,Afternoon,20,Good,83.3,4.9,4.35,42.1,77.6,0.96,25.2,204.9,297.3,1924.0,9565,56,5,Brakes,Brake Failure,1,Critical
HEMM-B003,Dozer,2022-10-11,Night,10,Poor,79.4,4.41,1.5,42.4,81.8,0.83,25.0,156.3,327.1,1702.0,11839,39,36,None,None,0,Medium
HEMM-B001,Dozer,2023-07-01,Afternoon,19,Fair,86.3,2.8,1.67,36.1,82.2,0.88,25.2,115.4,338.8,1942.0,8735,62,0,Hydraulics,Hydraulic Failure,1,Critical
HEMM-E003,Excavator,2022-05-31,Night,3,Fair,108.3,4.48,2.54,28.3,82.1,0.47,24.8,174.4,321.2,1872.0,3650,26,1,Cooling System,Cooling System Failure,1,Critical
HEMM-SC01,Scraper,2021-04-21,Morning,13,Good,70.8,4.09,6.51,41.1,43.9,0.95,24.9,188.9,328.5,1758.0,8784,102,2,Tyres,Tyre Burst,1,Critical
HEMM-G002,Grader,2022-09-26,Morning,8,Poor,118.3,4.77,1.61,45.5,85.9,0.66,24.7,173.9,408.4,1817.0,4855,61,2,Engine,Engine Overheat,1,Critical
HEMM-D002,Dumper,2023-01-01,Afternoon,16,Poor,87.9,4.38,1.59,32.1,90.0,0.77,25.4,178.9,341.7,1804.0,7854,116,86,None,None,0,Low
HEMM-SC01,Scraper,2023-07-01,Morning,18,Poor,94.5,3.74,1.74,43.3,79.2,0.82,24.7,183.1,312.8,1873.0,3100,80,122,None,None,0,Low
HEMM-DR01,Drill Rig,2023-12-09,Night,18,Fair,77.6,4.25,2.29,38.6,80.2,0.89,25.3,168.4,287.8,1833.0,5273,49,142,None,None,0,Low
HEMM-D003,Dumper,2023-06-24,Afternoon,12,Good,87.5,4.73,2.68,41.8,89.7,0.92,24.7,185.3,289.7,1788.0,6953,38,77,None,None,0,Low
HEMM-D001,Dumper,2023-12-08,Morning,12,Poor,117.8,5.45,1.85,31.5,80.4,0.52,25.4,180.9,284.6,1691.0,4898,65,7,Cooling System,Cooling System Failure,1,Critical
HEMM-B002,Dozer,2021-01-19,Afternoon,10,Good,80.2,4.72,2.45,40.4,76.4,0.91,25.0,173.4,299.1,1834.0,9981,34,175,None,None,0,Medium
HEMM-E002,Excavator,2023-04-24,Night,14,Good,72.6,4.42,2.2,37.9,75.9,0.82,23.4,184.9,312.1,1738.0,6667,36,162,None,None,0,Low
HEMM-G002,Grader,2023-02-14,Morning,9,Poor,96.0,5.16,2.9,43.7,80.4,0.92,24.3,182.3,319.6,1727.0,1497,59,30,None,None,0,Low
HEMM-B001,Dozer,2022-08-07,Night,18,Good,76.6,4.67,2.16,39.2,80.3,0.99,24.9,198.2,318.3,1865.0,4604,57,171,None,None,0,Low
HEMM-E001,Excavator,2021-10-07,Afternoon,4,Poor,85.3,4.93,1.54,36.4,83.7,0.84,24.6,183.3,288.7,1925.0,10634,63,53,None,None,0,Medium
HEMM-L001,Wheel Loader,2022-01-20,Afternoon,1,Poor,98.7,3.86,1.88,40.8,86.9,0.88,19.2,172.0,316.1,1929.0,2692,11,1,Electrical,Electrical Fault,1,Critical
HEMM-B001,Dozer,2021-09-14,Night,15,Good,71.9,4.36,4.59,41.6,83.5,0.83,24.0,177.7,299.9,1824.0,334,34,7,Brakes,Brake Failure,1,Critical
HEMM-B003,Dozer,2023-05-11,Afternoon,16,Poor,85.3,4.6,1.31,36.3,86.6,0.93,24.4,183.9,332.1,1872.0,6284,64,67,None,None,0,Low
HEMM-B003,Dozer,2021-06-14,Morning,2,Fair,89.0,2.6,1.95,32.6,89.9,0.91,24.5,108.6,300.6,1755.0,4566,104,7,Hydraulics,Hydraulic Failure,1,Critical
HEMM-E002,Excavator,2022-05-28,Afternoon,1,Poor,79.0,5.09,1.68,31.7,78.1,0.89,24.8,178.8,310.9,1824.0,2198,103,39,None,None,0,Low
HEMM-DR02,Drill Rig,2022-05-22,Night,2,Poor,88.4,4.9,1.72,49.6,86.9,0.99,24.8,204.7,298.1,1994.0,3463,63,98,None,None,0,Low
HEMM-L002,Wheel Loader,2022-03-03,Afternoon,13,Fair,79.9,4.6,6.31,37.8,37.4,0.96,25.3,180.3,311.8,1740.0,11364,44,0,Tyres,Tyre Burst,1,Critical
HEMM-B001,Dozer,2023-09-13,Night,10,Good,78.2,3.99,2.18,46.8,82.8,0.87,24.9,167.2,305.2,1798.0,3455,51,34,None,None,0,Low
HEMM-E002,Excavator,2021-08-20,Morning,14,Good,104.3,3.99,1.89,34.9,77.6,0.95,25.0,187.6,354.6,1753.0,5516,6,162,None,None,0,High
HEMM-D004,Dumper,2023-03-22,Morning,1,Poor,78.6,4.72,2.67,41.9,87.2,0.97,24.0,156.8,308.9,1861.0,888,79,158,None,None,0,Low
HEMM-D005,Dumper,2023-01-31,Morning,8,Good,73.4,4.11,1.35,44.7,73.8,0.81,24.2,188.8,322.4,1988.0,2783,68,137,None,None,0,Low
HEMM-B003,Dozer,2021-05-03,Morning,12,Poor,89.5,4.19,1.95,37.5,89.2,0.76,24.7,174.0,334.5,1697.0,10760,24,68,None,None,0,Medium
HEMM-D004,Dumper,2021-09-15,Afternoon,8,Poor,101.7,4.83,1.58,42.9,81.1,0.82,23.6,191.8,341.0,1810.0,5389,76,109,None,None,0,High
HEMM-DR02,Drill Rig,2022-01-31,Morning,13,Good,82.8,3.82,2.25,38.3,78.9,0.75,25.2,179.8,315.0,1757.0,6068,97,32,None,None,0,Low
HEMM-D002,Dumper,2023-09-21,Night,15,Poor,84.9,4.71,1.29,33.7,79.9,0.85,24.6,164.4,320.8,1658.0,9359,42,118,None,None,0,Medium
HEMM-E002,Excavator,2022-01-18,Night,12,Fair,83.0,4.54,1.94,36.2,83.1,0.94,24.9,181.9,315.8,1648.0,5503,98,42,None,None,0,Low
HEMM-SC01,Scraper,2021-11-25,Morning,17,Fair,96.3,4.81,1.81,44.2,81.0,0.96,24.8,170.8,299.6,1694.0,2739,62,115,None,None,0,Low
HEMM-SC01,Scraper,2023-01-22,Afternoon,1,Fair,77.7,4.8,1.75,31.3,79.6,0.99,24.5,170.3,343.6,1746.0,10653,69,179,None,None,0,Medium
